"id","subject","Name of the Book","Author","Amazon Link"
"1","Computer Science","The C Programming Language","by Brian W. Kernighan / Dennis Ritchie (Author)","https://amzn.eu/d/eMYjRqV"
"2","ODE-MVC","Thomas Calculus","George B. Thomas","https://amzn.eu/d/dGsQabI"
"8","UVC","Advanced Engineering Mathematics","Erwin Kreszig","https://amzn.eu/d/e9CcOGW"
"9","TOC","Introduction to Automata Theory, Languages, and Computation","by Hopcroft (Author)","https://amzn.eu/d/4SCEY1P"
"10","SPE","Semiconductor Physics and Devices (SIE) | 4th Edition","by Donald Neamen (Author), Dhrubes Biswas (Author)","https://amzn.eu/d/9dXgxNS"
"12","BEE","Basic Electrical Engg ","by V.K Mehta (Author), Rohit Mehta (Author)","https://amzn.eu/d/iPWKztv"
"14","Linear Algebra","Engineering Mathematics","Erwin Kreszig","https://amzn.eu/d/e9CcOGW"
"15","APPLIED CHEMISTRY","Engineering Applied Chemistry Textbook : B. E. /B. TECH.","by Dr. Jyoti Vaidya Bisne (Author)","https://www.amazon.in/dp/1638322910?ref_=cm_sw_r_cp_ud_dp_2H284DABNRQV5C9FBD37"
"16","ECW","Electronic Devices and Circuit Theory","by Boylestad / Nashelsky","https://www.amazon.in/dp/9332542600?ref_=cm_sw_r_cp_ud_dp_NX5A43M8VX48GYD3B4SN"
"17","PPS","PYTHON PROGRAMMING: USING PROBLEM SOLVING APPROACH","by Reema Thareja","https://www.amazon.in/dp/0199480176?_encoding=UTF8&psc=1&ref_=cm_sw_r_cp_ud_dp_N5TQKNPY4BZJ1M7PGKZJ"
"18","FME","Basics of Mechanical Engineering","by Mridual Singal (Author), R. K. Singal (Author), Rishi Singal (Author)","https://www.amazon.in/dp/8189866206?ref_=cm_sw_r_cp_ud_dp_P1KYAFD97BG31Q7GNJV3"
"19","DT","Communication Book, The: 44 Ideas for Better Conversations Every Day","by Mikael Krogerus and Roman Tschäppeler","https://www.amazon.in/dp/0241982286?ref_=cm_sw_r_cp_ud_dp_1VMVSK2MR4ZYGDXRSE7X"
"20","OMP","Optics and Modern Physics","by B. M. Sharma (Author)","https://www.amazon.in/dp/9355730705?ref_=cm_sw_r_cp_ud_dp_ANH1WTYRZ59Q95JN5D4N"
"21","EGD","Engineering Graphics and Design ","by Pradeep Jain (Author), A.P.Gautam (Author), Ankita Maheshwari (Author)","https://www.amazon.in/dp/9386173476?ref_=cm_sw_r_cp_ud_dp_3PYZ15G5GP649E62ZJYX"
"22","EM","A Textbook Of Engineering Mechanics ","by R. S. Khurmi (Author), N. Khurmi (Author)","https://www.amazon.in/Textbook-Engineering-Mechanics-R-Khurmi/dp/9352833961"
"23","DLD","Digital Logic- N- Computer Design- 1","by M Morris Mano (Author)","https://www.amazon.in/dp/B07RYFJTZB?ref_=cm_sw_r_cp_ud_dp_EE03N3YG2ZXMTZMHZMTV"
"24","DSGT","Discrete Mathematics and Graph Theory: A Concise Study Companion and Guide (Undergraduate Topics in Computer Science) ","by K. Erciyes (Author)","https://www.amazon.in/dp/3030611140?ref_=cm_sw_r_cp_ud_dp_CKY5QJZD7T02NGHJ6EYC"
"25","MPT","Microprocessor Technology ","by David L. Terrell (Author)","https://www.amazon.in/dp/0835943925?ref_=cm_sw_r_cp_ud_dp_69M7A9ZWS1XZVE79867R"
"26","Biology","Biology for Engineers: As per Latest AICTE Curriculum","by Wiley Editorial (Author)","https://www.amazon.in/dp/8126576340?ref_=cm_sw_r_cp_ud_dp_J59EATQKX1TVC2ENTJF8"
"27","FME","Fundamentals of Mechanical Engineering"," G.S. Sawhney (Author) ","https://amzn.eu/d/5wq7M2i"
"28","TOC","Theory Of Computation","J.K.Caudhary","https://amzn.eu/d/iFrtFEu"
"30","Computer Science","Fundamentals of Data Structure in C","E.Horowitz,S.Sahn","https://amzn.eu/d/gYJJ7BO"
